id,type,title,price,currency,current_payment_status,booth_url,github_release_url,source_original,review_result,creation_method,price_check,tax_code_candidate,tax_code_review_required,stripe_product_name,metadata_ready,memo
dake_pdf_splitone,app,DakePDF分割One,500,JPY,booth_only,https://peakheadz.booth.pm/items/8448207,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_SplitOne_v1.0.0,01_apps/DAKE_PDF_SplitOne/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakePDF分割One,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_pdf_splitselect,app,DakePDF分割Select,500,JPY,booth_only,https://peakheadz.booth.pm/items/8448213,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_SplitSelect_v1.0.0,01_apps/DAKE_PDF_SplitSelect/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakePDF分割Select,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_pdf_toimages,app,DakePDFto画像,500,JPY,booth_only,https://peakheadz.booth.pm/items/8448216,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_ToImages_v1.0.0,01_apps/DAKE_PDF_ToImages/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakePDFto画像,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_pdf_viewer,app,DakePDF見る,500,JPY,booth_only,https://peakheadz.booth.pm/items/8448219,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_PDF_Viewer_v1.0.0,01_apps/DAKE_PDF_Viewer/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakePDF見る,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_price_apportionment,app,Dake価格按分,300,JPY,booth_only,https://peakheadz.booth.pm/items/8448222,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Price_Apportionment_v1.0.0,01_apps/DAKE_Price_Apportionment/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dake価格按分,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_price_fixedtax,app,Dake固都税計算,300,JPY,booth_only,https://peakheadz.booth.pm/items/8448259,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Price_FixedTax_v1.0.0,01_apps/DAKE_Price_FixedTax/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dake固都税計算,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_reform_progress,app,リフォーム進捗管理,500,JPY,booth_only,https://peakheadz.booth.pm/items/8448260,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Reform_Progress_v1.0.0,01_apps/DAKE_Reform_Progress/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,リフォーム進捗管理,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_screen_webp,app,DakeScreen_WebP,300,JPY,booth_only,https://peakheadz.booth.pm/items/8448261,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Screen_WebP_v1.0.0,01_apps/DAKE_Screen_WebP/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,DakeScreen_WebP,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_screenshot_print,app,Dakeスクショ印刷,500,JPY,booth_only,https://peakheadz.booth.pm/items/8448262,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Screenshot_Print_v1.0.0,01_apps/DAKE_Screenshot_Print/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dakeスクショ印刷,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_two_person_memo,app,Dake二人メモ,300,JPY,booth_only,https://peakheadz.booth.pm/items/8448279,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_TwoPerson_Memo_v1.0.0,01_apps/DAKE_TwoPerson_Memo/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dake二人メモ,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_work_calendar,app,Dake工程カレンダー,500,JPY,booth_only,https://peakheadz.booth.pm/items/8448282,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Work_Calendar_v1.0.0,01_apps/DAKE_Work_Calendar/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dake工程カレンダー,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_year_age,app,Dake築年数,300,JPY,booth_only,https://peakheadz.booth.pm/items/8448286,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Year_Age_v1.0.0,01_apps/DAKE_Year_Age/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dake築年数,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
dake_year_notice,app,Dake今年の注意点,300,JPY,booth_only,https://peakheadz.booth.pm/items/8448289,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Year_Notice_v1.0.0,01_apps/DAKE_Year_Notice/ORIGINAL.md,create,api_candidate,price_ok,txcd_10202003,no,Dake今年の注意点,yes,"single DAKE app; API candidate with price, BOOTH URL, and source_original present; source memo: ready for Stripe Payment Link planning"
game_alien_road,app,DakeAlien Road,300,JPY,booth_only,https://peakheadz.booth.pm/items/8449213,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Game_Alien_Road_v1.0.0,01_apps/DAKE_Game_Alien_Road/ORIGINAL.md,create,api_candidate,price_ok,txcd_10201000,yes,DakeAlien Road,yes,"single DAKE game app; API candidate, but tax_code review is required; source memo: ready for Stripe Payment Link planning"
game_diver_catch,app,Dake潜って捕る,300,JPY,booth_only,https://peakheadz.booth.pm/items/8449218,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Game_Diver_Catch_v1.0.0,01_apps/DAKE_Game_Diver_Catch/ORIGINAL.md,create,api_candidate,price_ok,txcd_10201000,yes,Dake潜って捕る,yes,"single DAKE game app; API candidate, but tax_code review is required; source memo: ready for Stripe Payment Link planning"
video_shorts_cut,app,Dakeショート切り出し,500,JPY,preparing,,https://github.com/yukiPHZ/dake-series/releases/tag/DAKE_Video_Shorts_Cut_v1.0.0,01_apps/DAKE_Video_Shorts_Cut/ORIGINAL.md,hold,hold,price_ok,txcd_10202003,no,Dakeショート切り出し,partial,payment_status=preparing; BOOTH URL and sales flow are not confirmed; source memo: preparing item; do not create Stripe link yet
DAKE_Pack_Document,pack,DAKE 書類整理パック,1480,JPY,booth_only,https://peakheadz.booth.pm/items/8448353,,04_packs/DAKE_Pack_Document/ORIGINAL.md,manual,manual_dashboard,price_ok,txcd_10202003,no,DAKE 書類整理パック,partial,"Pack item; create manually first because github_release_url is empty and pack_ready, BOOTH flow, and post-purchase guidance need individual review; source memo: github_release_url missing; acceptable for packs if delivery policy is separate"
DAKE_Pack_Memo,pack,DAKE メモと記録パック,980,JPY,booth_only,https://peakheadz.booth.pm/items/8449208,,04_packs/DAKE_Pack_Memo/ORIGINAL.md,manual,manual_dashboard,price_ok,txcd_10202003,no,DAKE メモと記録パック,partial,"Pack item; create manually first because github_release_url is empty and pack_ready, BOOTH flow, and post-purchase guidance need individual review; source memo: github_release_url missing; acceptable for packs if delivery policy is separate"
